experiment,method,seed,platform,hardware,test_accuracy,test_loss,training_time_sec,parameter_count,qubo_time_sec,notes
bnn_dfa,BNN + DFA,42,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,93.92,0.8093794801761642,112.53638500000034,101770,,
bnn_dfa,BNN + DFA,123,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,91.35,1.1570719603929414,110.10514220000005,101770,,
bnn_dfa,BNN + DFA,456,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,93.65,1.0440971518445974,112.55889780000052,101770,,
bnn_dfa,BNN + DFA,789,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,92.92,0.8418676722490677,111.80679529999998,101770,,
bnn_dfa,BNN + DFA,999,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,91.61,1.2609619637179894,108.60930019999978,101770,,
baseline_ann,Standard ANN,42,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,97.88,0.09845453463225376,126.29540180000004,101770,,
baseline_ann,Standard ANN,123,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,97.65,0.11402073856134895,124.67124629999944,101770,,
baseline_ann,Standard ANN,456,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,97.77,0.10351081353558271,131.06516439999996,101770,,
baseline_ann,Standard ANN,789,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,97.74,0.11504570151844305,146.46265980000044,101770,,
baseline_ann,Standard ANN,999,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,97.65,0.10764992554593818,145.30659560000004,101770,,
bnn_bp,BNN + Backpropagation,42,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,95.89,0.16704920890213104,146.19869560000006,101770,,
bnn_bp,BNN + Backpropagation,123,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,95.6,0.15826377118225832,131.77205780000077,101770,,
bnn_bp,BNN + Backpropagation,456,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,95.56,0.16816245812543068,148.50962140000047,101770,,
bnn_bp,BNN + Backpropagation,789,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,95.4,0.18995557839453522,128.40949439999986,101770,,
bnn_bp,BNN + Backpropagation,999,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,94.28,0.2327801319080921,150.95010840000032,101770,,
bnn_dfa_qubo,BNN + DFA + QUBO,42,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,93.4,,105.81502010000077,101770,3.7394442000004346,
bnn_dfa_qubo,BNN + DFA + QUBO,123,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,93.04,,109.5966898000006,101770,5.584348000000318,
bnn_dfa_qubo,BNN + DFA + QUBO,456,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,83.27,,106.2501998000007,101770,2.40548680000029,
bnn_dfa_qubo,BNN + DFA + QUBO,789,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,90.33,,103.2392619000002,101770,3.23423769999863,
bnn_dfa_qubo,BNN + DFA + QUBO,999,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,87.74,,107.04518540000026,101770,2.7654112999989593,
dfa_binary_head_ste,BNN + DFA + STE Binary Head,42,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,18.98,,111.4625664999985,101770,,
dfa_binary_head_ste,BNN + DFA + STE Binary Head,123,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,13.31,,116.82380709999961,101770,,
dfa_binary_head_ste,BNN + DFA + STE Binary Head,456,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,9.22,,111.04508220000025,101770,,
dfa_binary_head_ste,BNN + DFA + STE Binary Head,789,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,14.39,,110.33761609999965,101770,,
dfa_binary_head_ste,BNN + DFA + STE Binary Head,999,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,12.51,,111.1175389,101770,,
dfa_binary_head,BNN + DFA + Binarized LS Head,42,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,14.91,,107.2349293999996,101770,,Real-valued LS head accuracy: 19.1200%
dfa_binary_head,BNN + DFA + Binarized LS Head,123,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,34.36,,108.27573970000049,101770,,Real-valued LS head accuracy: 29.8100%
dfa_binary_head,BNN + DFA + Binarized LS Head,456,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,9.8,,105.7055902000011,101770,,Real-valued LS head accuracy: 10.1000%
dfa_binary_head,BNN + DFA + Binarized LS Head,789,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,78.14,,128.79609399999936,101770,,Real-valued LS head accuracy: 87.1100%
